model,best_params,train_mae,train_rmse,val_mae,val_rmse,test_mae,test_rmse
Ridge_TFIDF,{'alpha': 10.0},0.06975354089219281,0.10272363302384088,0.05107892274424463,0.08057231288157876,0.07104125941909553,0.10824160078452853
RFReg_DENSE,"{'max_depth': 5, 'n_estimators': 300}",0.03264072681107143,0.052957136783629906,0.038999994104732365,0.0764563895009071,0.07806020896344382,0.1458986859976608
MLPReg_DENSE,"{'alpha': 0.001, 'hidden_layer_sizes': (64,)}",0.03139558434486389,0.057433115173698625,0.0865393802523613,0.10766009446381744,0.09863398224115372,0.14115282184524613
