model,best_params,train_acc,train_f1,val_acc,val_f1,test_acc,test_f1
NB_TFIDF,{'alpha': 0.1},0.819047619047619,0.5231060606060606,0.8181818181818182,0.5340909090909091,0.8260869565217391,0.5607843137254902
LR_TFIDF,{'C': 0.1},0.819047619047619,0.5402469135802469,0.8636363636363636,0.5845648604269295,0.8695652173913043,0.6060606060606061
LinearSVC_TFIDF,{'C': 0.01},0.819047619047619,0.5402469135802469,0.8636363636363636,0.5845648604269295,0.8695652173913043,0.6060606060606061
RF_DENSE,"{'max_depth': None, 'n_estimators': 100}",1.0,1.0,0.8636363636363636,0.5845648604269295,0.782608695652174,0.5252525252525252
GB_DENSE,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",1.0,1.0,0.8636363636363636,0.5845648604269295,0.782608695652174,0.5340909090909091
MLP_DENSE,"{'alpha': 0.0001, 'hidden_layer_sizes': (128, 64)}",0.9904761904761905,0.9638490164805954,0.9090909090909091,0.6188034188034188,0.8695652173913043,0.6060606060606061
