model,best_params,train_mae,train_rmse,val_mae,val_rmse,test_mae,test_rmse
Ridge_TFIDF,{'alpha': 10.0},0.0697535408921928,0.1027236330238408,0.0510789227442446,0.0805723128815787,0.0710412594190955,0.1082416007845285
RFReg_DENSE,"{'max_depth': 5, 'n_estimators': 300}",0.0326407268110714,0.0529571367836299,0.0389999941047323,0.0764563895009071,0.0780602089634438,0.1458986859976608
MLPReg_DENSE,"{'alpha': 0.001, 'hidden_layer_sizes': (64,)}",0.0313955843448638,0.0574331151736986,0.0865393802523613,0.1076600944638174,0.0986339822411537,0.1411528218452461
